ID,コード内ID,即着,AOE,フルオート,弾無限,ダメージ,射程,マガジン弾数,予備弾数,リロード時間,射撃速度,拡散率,ADS時の拡散率,反動量,銃口のオフセットX,銃口のオフセットY,銃口のオフセットZ,ADS時の銃口のオフセットX,ADS時の銃口のオフセットY,ADS時の銃口のオフセットZ,所持速度低下率,ADS時速度低下率,ADS時視野角,弾のサイズ(即着 trueのみ),弾速(即着 trueのみ),爆破半径(AOE trueのみ),ノックバック量(AOE trueのみ),フレンドリーファイア,モデルファイルのパス,モデルのスケール,描画用オフセットX,描画用オフセットY,描画用オフセットZ,ADS時の描画用オフセットX,ADS時の描画用オフセットY,ADS時の描画用オフセットZ,描画用銃口オフセットX,描画用銃口オフセットY,描画用銃口オフセットZ,ADS時の描画用銃口オフセットX,ADS時の描画用銃口オフセットY,ADS時の描画用銃口オフセットZ,HUD用画像パス,射撃音ファイルパス,リロード音ファイルパス,リロード終了音ファイルパス
RIFLE,AR,TRUE,FALSE,TRUE,FALSE,25,50,20,120,2,12,0.15,0.005,2,0.5,-0.25,2.34,0,0,1,1,0.4,50,0,0,0,0,FALSE,Resource/Weapon/AR.mv1,0.005,0.5,-0.55,0.4,0,-0.43,0.4,0.5,-0.25,2.34,0,-0.2,2.34,Resource/WeaponUI/AR.png,Resource/Sound/FireAR.ogg,Resource/Sound/Reload.wav,Resource/Sound/Reloadend.wav
SNIPER,SR,TRUE,FALSE,FALSE,FALSE,80,80,3,12,3,0.6,0.2,0.0001,7,0.5,-0.4,3.3,0,0,1,0.9,0.2,40,0,0,0,0,FALSE,Resource/Weapon/SR.mv1,0.005,0.5,-0.55,0.6,0,-0.28,0.4,0.5,-0.4,3.3,0,-1.2,3.3,Resource/WeaponUI/SR.png,Resource/Sound/FireSR.ogg,Resource/Sound/Reload.wav,Resource/Sound/Reloadend.wav
LAUNCHER,LR,FALSE,TRUE,FALSE,FALSE,120,40,1,5,2.5,1,0.001,0.001,14,0.4,-0.2,0.94,0.4,-0.2,0.89,0.5,0.5,65,0.1,0.5,10,0.3,TRUE,Resource/Weapon/LR.mv1,0.005,0.4,-0.32,0.5,0.4,-0.32,0.5,0.4,-0.2,0.94,0.4,-0.2,0.89,Resource/WeaponUI/LR.png,Resource/Sound/FireLR.ogg,Resource/Sound/Reload.wav,Resource/Sound/Reloadend.wav
SMG,SMG,FALSE,FALSE,TRUE,FALSE,15,40,40,240,1.8,20,0.1,0.03,1.5,0.4,-0.2,1.55,0,0,1,1,0.7,60,0.06,1,0,0,FALSE,Resource/Weapon/SMG.mv1,0.005,0.5,-0.6,0.5,0,-0.49,0.7,0.4,-0.2,1.55,0,-0.12,1.55,Resource/WeaponUI/SMG.png,Resource/Sound/FireSMG.ogg,Resource/Sound/Reload.wav,Resource/Sound/Reloadend.wav
PISTOL,PIS,FALSE,FALSE,FALSE,TRUE,35,40,8,0,2,8,0.05,0.005,3,0.5,-0.25,1.3,0,0,1,1,0.8,60,0.06,1,0,0,FALSE,Resource/Weapon/PIS.mv1,0.005,0.5,-0.55,0.6,0,-0.36,0.4,0.5,-0.25,1.3,0,-0.1,2.34,Resource/WeaponUI/PIS.png,Resource/Sound/FirePIS.ogg,Resource/Sound/Reload.wav,Resource/Sound/Reloadend.wav
ENEMYMELEE,ENEMY_KNIFE,FALSE,FALSE,FALSE,TRUE,25,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5,0,FALSE,Resource/Weapon/EnemyKnife.mv1,0.008,0.4,0,0.5,0,0,0,0,0,0,0,0,0,,,,
ENEMYRIFLE,ENEMY_RIFLE,FALSE,FALSE,TRUE,TRUE,10,20,20,0,5,1,0.001,0.001,0,0,-0.4,0,0,0,0,1,1,50,0.1,0.3,0,0,FALSE,Resource/Weapon/EnemyAR.mv1,0.007,0,-0.2,0.6,0,0,0,0,0,0,0,0,0,,Resource/Sound/FireAR.ogg,Resource/Sound/Reload.wav,Resource/Sound/Reloadend.wav
ENEMYSNIPER,ENEMY_SNIPER,FALSE,FALSE,TRUE,TRUE,30,30,3,0,10,0.2,0.0001,0.0001,0,0,-0.4,0,0,0,0,1,-0.5,40,0.06,0.8,0,0,FALSE,Resource/Weapon/EnemySniper.mv1,0.007,0,-0.2,0.7,0,0,0,0,0,0,0,0,0,,Resource/Sound/FireENEMYSR.ogg,Resource/Sound/Reload.wav,Resource/Sound/Reloadend.wav
DESTRUCT,ENEMY_EXPLOSION,FALSE,FALSE,FALSE,TRUE,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0.5,TRUE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,
